"Gene","Base Mean","Log2FC","SE","Adjusted P-value"
"NOS2",386.36,5.596,0.192,"5.381e-124"
"SOD2",10449.68,1.533,0.069,"2.538e-13"
"GPX2",405.15,1.53,0.092,"1.008e-07"
"HMOX1",2051.68,1.405,0.073,"2.570e-07"
"CYCS",2286.27,1.259,0.068,"1.145e-03"
